poiID,poiCat,poiLon,poiLat,catID
0,Historical,-3.199862035,55.94884683716422,2
1,Historical,-3.172467594,55.95276297997137,2
2,Museum,-3.190347155,55.9467227646501,3
3,Structure,-3.175121468,55.95223434537238,5
26,Structure,-3.388720083,55.999739000000005,5
4,Structure,-3.404049091,56.0012820909091,5
5,Park,-3.161887907,55.94412091798946,4
6,Historical,-3.193193944,55.952538583465206,2
7,Cultural,-3.19063723,55.94980869047352,0
8,Park,-3.182957374,55.95515047337272,4
9,Historical,-3.181937191,55.95460454054049,2
10,Cultural,-3.204490627,55.94680475745124,0
11,Cultural,-3.186982431,55.94635503896903,0
12,Structure,-3.20961838,55.94610982238432,5
13,Structure,-3.196984674,55.95182393800676,5
14,Museum,-3.195737522,55.95100889834512,3
15,Structure,-3.190234719,55.948767777436686,5
16,Park,-3.202453709,55.95054091561817,4
17,Structure,-3.189239102,55.95262047466306,5
18,Park,-3.207734793,55.96588335187255,4
19,Structure,-3.172436006,55.977925371257456,5
20,Structure,-3.207617293,55.95175426182978,5
21,Structure,-3.1847238,55.95370758124997,5
22,Entertainment,-3.174234127,55.95074926405848,1
27,Historical,-3.2392286,55.9184182,2
23,Museum,-3.227194834,55.95087610650889,3
24,Structure,-3.186862163,55.94824579547164,5
25,Structure,-3.195232434,55.94908885935436,5
