userID,sequence_length,start_poi,end_poi,poi_sequence,cat_sequence,time_sequence
1,3,8,15,8;24;15,4;5;5,25;27;28
5,12,7,22,7;0;25;16;13;6;17;21;9;8;3;22,0;2;5;4;5;2;5;5;2;4;5;1,28;28;28;28;28;29;29;29;29;29;30;30
11,6,15,6,15;1;2;25;7;6,5;2;3;5;0;2,25;26;27;27;28;29
11,5,15,2,15;25;0;16;2,5;5;2;4;3,1;2;2;6;7
11,3,15,21,15;9;21,5;2;5,23;25;26
14,3,7,15,7;2;15,0;3;5,30;30;31
15,5,1,6,1;25;0;13;6,2;5;2;5;2,0;3;3;6;6
15,3,21,8,21;9;8,5;2;4,27;27;27
16,3,0,2,0;6;2,2;2;3,24;24;25
18,3,14,25,14;16;25,3;4;5,32;32;32
22,3,13,7,13;24;7,5;5;0,1;3;8
24,3,1,0,1;5;0,2;4;2,1;2;7
29,4,20,10,20;7;25;10,5;0;5;0,47;1;1;4
29,5,14,17,14;6;11;25;17,3;2;0;5;5,27;29;34;35;36
33,3,0,3,0;7;3,2;0;5,4;6;6
33,6,14,17,14;13;10;3;8;17,3;5;0;5;4;5,28;28;28;28;29;29
33,3,3,8,3;17;8,5;5;4,2;2;2
33,3,13,15,13;7;15,5;0;5,27;28;28
33,3,25,17,25;13;17,5;5;5,25;26;27
33,3,7,2,7;24;2,0;5;3,4;6;6
35,5,13,15,13;25;7;17;15,5;5;0;5;5,27;28;28;28;28
43,6,25,1,25;0;7;17;3;1,5;2;0;5;5;2,3;3;3;4;4;4
50,3,16,25,16;15;25,4;5;5,4;5;6
54,5,25,7,25;0;2;15;7,5;2;3;5;0,47;47;2;4;4
54,3,13,15,13;14;15,5;3;5,22;23;25
59,7,17,8,17;0;25;7;6;13;8,5;2;5;0;2;5;4,25;27;28;29;30;32;36
60,3,0,2,0;25;2,2;5;3,23;25;25
71,5,2,25,2;3;5;7;25,3;5;4;0;5,46;46;46;46;46
71,5,7,16,7;2;0;13;16,0;3;2;5;4,1;4;5;6;6
74,4,6,9,6;0;7;9,2;2;0;2,41;42;45;46
77,4,9,3,9;10;22;3,2;0;1;5,1;1;1;1
80,4,13,14,13;2;11;14,5;3;0;3,3;3;4;8
81,3,17,14,17;6;14,5;2;3,10;10;10
82,6,6,17,6;14;21;25;7;17,2;3;5;5;0;5,4;4;7;8;8;10
83,3,21,15,21;17;15,5;5;5,44;44;44
88,3,25,22,25;0;22,5;2;1,1;2;6
88,7,2,0,2;24;17;6;14;25;0,3;5;5;2;3;5;2,2;4;6;6;7;7;7
93,4,13,21,13;17;8;21,5;5;4;5,5;6;6;6
93,4,7,0,7;25;2;0,0;5;3;2,1;2;5;7
95,3,25,2,25;7;2,5;0;3,11;12;12
95,4,6,11,6;13;16;11,2;5;4;0,27;28;29;36
95,4,24,15,24;25;7;15,5;5;0;5,4;4;5;7
101,3,6,25,6;0;25,2;2;5,19;20;20
108,12,10,2,10;0;25;7;15;21;9;8;6;13;16;2,0;2;5;0;5;5;2;4;2;5;4;3,4;4;5;5;5;5;5;6;6;7;7;10
108,3,5,18,5;19;18,4;5;4,24;27;28
108,3,12,7,12;22;7,5;1;0,27;33;36
108,8,12,25,12;10;20;17;21;8;7;25,5;0;5;5;5;4;0;5,29;34;34;36;36;36;37;37
108,4,13,25,13;17;7;25,5;5;0;5,5;5;5;5
116,3,8,13,8;9;13,4;2;5,8;8;8
116,8,17,1,17;7;15;0;25;6;3;1,5;0;5;2;5;2;5;2,23;23;23;23;26;26;28;29
120,3,13,1,13;3;1,5;5;2,47;0;0
124,3,10,2,10;7;2,0;0;3,26;26;26
134,7,6,17,6;16;13;0;2;7;17,2;4;5;2;3;0;5,0;0;0;0;2;2;2
138,3,0,2,0;14;2,2;3;3,36;40;41
140,6,25,13,25;0;7;17;6;13,5;2;0;5;2;5,25;25;29;32;32;32
140,4,8,5,8;9;16;5,4;2;4;4,2;2;4;7
143,3,15,25,15;7;25,5;0;5,0;1;1
148,4,3,20,3;22;7;20,5;1;0;5,1;1;2;4
160,3,16,13,16;6;13,4;2;5,30;32;32
163,3,21,6,21;7;6,5;0;2,24;31;33
164,7,17,11,17;9;7;25;2;24;11,5;2;0;5;3;5;0,1;1;1;2;2;3;3
164,5,0,3,0;25;7;17;3,2;5;0;5;5,19;22;24;25;25
173,4,15,7,15;25;0;7,5;5;2;0,22;23;24;24
173,3,16,9,16;13;9,4;5;2,10;11;11
176,3,2,7,2;0;7,3;2;0,28;28;28
178,5,16,6,16;14;25;7;6,4;3;5;0;2,26;27;27;27;28
179,4,21,1,21;9;3;1,5;2;5;2,21;21;21;21
184,4,7,17,7;10;16;17,0;0;4;5,21;21;21;21
184,3,13,7,13;14;7,5;3;0,6;6;6
184,3,17,14,17;25;14,5;5;3,7;8;8
184,4,6,7,6;14;25;7,2;3;5;0,2;3;3;3
184,3,17,7,17;6;7,5;2;0,28;29;29
184,3,7,21,7;17;21,0;5;5,3;3;3
184,4,17,15,17;11;24;15,5;0;5;5,7;7;7;7
184,4,24,12,24;20;10;12,5;5;0;5,28;30;30;30
184,3,17,14,17;6;14,5;2;3,31;31;31
184,3,25,16,25;13;16,5;5;4,6;6;7
184,4,24,17,24;13;6;17,5;5;2;5,29;31;31;31
184,3,16,25,16;13;25,4;5;5,28;29;29
184,3,6,16,6;13;16,2;5;4,5;5;5
184,3,25,3,25;7;3,5;0;5,29;29;29
184,4,2,22,2;7;1;22,3;0;2;1,3;5;5;5
184,3,6,13,6;21;13,2;5;5,27;27;28
188,4,0,21,0;7;17;21,2;0;5;5,5;6;6;6
188,3,25,22,25;3;22,5;5;1,1;5;5
191,3,25,0,25;2;0,5;3;2,28;28;28
191,3,17,13,17;6;13,5;2;5,23;23;23
200,4,6,7,6;13;3;7,2;5;5;0,4;4;5;11
200,3,22,3,22;1;3,1;2;5,29;30;31
200,5,13,3,13;14;25;17;3,5;3;5;5;5,28;29;29;29;29
200,3,13,7,13;14;7,5;3;0,6;7;7
200,3,3,7,3;22;7,5;1;0,4;5;10
200,3,2,9,2;7;9,3;0;2,29;29;34
200,3,24,14,24;16;14,5;4;3,28;29;30
203,3,16,14,16;13;14,4;5;3,0;2;2
204,3,17,10,17;2;10,5;3;0,45;0;1
209,12,0,25,0;1;2;4;8;9;15;16;17;18;21;25,2;2;3;5;4;2;5;4;5;4;5;5,14;14;14;14;14;14;14;14;14;14;14;14
212,4,25,2,25;24;3;2,5;5;5;3,47;1;2;11
216,3,7,25,7;0;25,0;2;5,25;26;27
216,3,25,7,25;1;7,5;2;0,1;2;2
217,5,8,21,8;14;25;1;21,4;3;5;2;5,20;23;23;25;26
223,4,6,24,6;17;16;24,2;5;4;5,5;5;5;5
227,7,17,24,17;3;22;11;0;25;24,5;5;1;0;2;5;5,24;24;24;25;26;26;37
227,6,21,2,21;17;9;22;8;2,5;5;2;1;4;3,3;3;3;3;4;5
233,3,1,15,1;3;15,2;5;5,27;28;32
235,3,8,21,8;9;21,4;2;5,14;14;14
244,4,8,7,8;9;25;7,4;2;5;0,25;25;32;32
245,3,24,7,24;17;7,5;5;0,13;15;15
247,4,25,15,25;2;7;15,5;3;0;5,4;6;6;7
247,3,25,2,25;0;2,5;2;3,4;5;7
247,3,16,6,16;13;6,4;5;2,26;26;26
253,4,3,0,3;1;7;0,5;2;0;2,30;30;31;32
256,4,20,13,20;16;6;13,5;4;2;5,4;4;5;8
256,5,11,6,11;2;25;7;6,0;3;5;0;2,28;29;31;31;32
259,6,9,13,9;23;15;3;6;13,2;3;5;5;2;5,2;6;9;9;10;11
262,4,13,15,13;24;2;15,5;5;3;5,24;24;25;25
262,3,11,6,11;24;6,0;5;2,1;1;1
262,5,11,25,11;2;15;7;25,0;3;5;0;5,20;20;25;25;25
262,5,2,7,2;25;15;24;7,3;5;5;5;0,1;2;3;4;5
262,6,2,17,2;24;8;21;6;17,3;5;4;5;2;5,6;7;7;7;8;8
262,6,11,14,11;6;21;9;8;14,0;2;5;2;4;3,25;25;27;27;27;29
262,3,0,2,0;15;2,2;5;3,47;47;47
263,3,16,25,16;14;25,4;3;5,8;8;8
263,3,3,13,3;1;13,5;2;5,6;6;8
263,4,25,6,25;3;1;6,5;5;2;2,25;27;28;32
