userID,sequence_length,start_poi,end_poi,poi_sequence
1,3,8,15,8;24;15
5,12,7,22,7;0;25;16;13;6;17;21;9;8;3;22
11,6,15,6,15;1;2;25;7;6
11,5,15,2,15;25;0;16;2
11,3,15,21,15;9;21
14,3,7,15,7;2;15
15,5,1,6,1;25;0;13;6
15,3,21,8,21;9;8
16,3,0,2,0;6;2
18,3,14,25,14;16;25
22,3,13,7,13;24;7
24,3,1,0,1;5;0
29,4,20,10,20;7;25;10
29,5,14,17,14;6;11;25;17
33,3,0,3,0;7;3
33,6,14,17,14;13;10;3;8;17
33,3,3,8,3;17;8
33,3,13,15,13;7;15
33,3,25,17,25;13;17
33,3,7,2,7;24;2
35,5,13,15,13;25;7;17;15
43,6,25,1,25;0;7;17;3;1
50,3,16,25,16;15;25
54,5,25,7,25;0;2;15;7
54,3,13,15,13;14;15
59,7,17,8,17;0;25;7;6;13;8
60,3,0,2,0;25;2
71,5,2,25,2;3;5;7;25
71,5,7,16,7;2;0;13;16
74,4,6,9,6;0;7;9
77,4,9,3,9;10;22;3
80,4,13,14,13;2;11;14
81,3,17,14,17;6;14
82,6,6,17,6;14;21;25;7;17
83,3,21,15,21;17;15
88,3,25,22,25;0;22
88,7,2,0,2;24;17;6;14;25;0
93,4,13,21,13;17;8;21
93,4,7,0,7;25;2;0
95,3,25,2,25;7;2
95,4,6,11,6;13;16;11
95,4,24,15,24;25;7;15
101,3,6,25,6;0;25
108,12,10,2,10;0;25;7;15;21;9;8;6;13;16;2
108,3,5,18,5;19;18
108,3,12,7,12;22;7
108,8,12,25,12;10;20;17;21;8;7;25
108,4,13,25,13;17;7;25
116,3,8,13,8;9;13
116,8,17,1,17;7;15;0;25;6;3;1
120,3,13,1,13;3;1
124,3,10,2,10;7;2
134,7,6,17,6;16;13;0;2;7;17
138,3,0,2,0;14;2
140,6,25,13,25;0;7;17;6;13
140,4,8,5,8;9;16;5
143,3,15,25,15;7;25
148,4,3,20,3;22;7;20
160,3,16,13,16;6;13
163,3,21,6,21;7;6
164,7,17,11,17;9;7;25;2;24;11
164,5,0,3,0;25;7;17;3
173,4,15,7,15;25;0;7
173,3,16,9,16;13;9
176,3,2,7,2;0;7
178,5,16,6,16;14;25;7;6
179,4,21,1,21;9;3;1
184,4,7,17,7;10;16;17
184,3,13,7,13;14;7
184,3,17,14,17;25;14
184,4,6,7,6;14;25;7
184,3,17,7,17;6;7
184,3,7,21,7;17;21
184,4,17,15,17;11;24;15
184,4,24,12,24;20;10;12
184,3,17,14,17;6;14
184,3,25,16,25;13;16
184,4,24,17,24;13;6;17
184,3,16,25,16;13;25
184,3,6,16,6;13;16
184,3,25,3,25;7;3
184,4,2,22,2;7;1;22
184,3,6,13,6;21;13
188,4,0,21,0;7;17;21
188,3,25,22,25;3;22
191,3,25,0,25;2;0
191,3,17,13,17;6;13
200,4,6,7,6;13;3;7
200,3,22,3,22;1;3
200,5,13,3,13;14;25;17;3
200,3,13,7,13;14;7
200,3,3,7,3;22;7
200,3,2,9,2;7;9
200,3,24,14,24;16;14
203,3,16,14,16;13;14
204,3,17,10,17;2;10
209,12,0,25,0;1;2;4;8;9;15;16;17;18;21;25
212,4,25,2,25;24;3;2
216,3,7,25,7;0;25
216,3,25,7,25;1;7
217,5,8,21,8;14;25;1;21
223,4,6,24,6;17;16;24
227,7,17,24,17;3;22;11;0;25;24
227,6,21,2,21;17;9;22;8;2
233,3,1,15,1;3;15
235,3,8,21,8;9;21
244,4,8,7,8;9;25;7
245,3,24,7,24;17;7
247,4,25,15,25;2;7;15
247,3,25,2,25;0;2
247,3,16,6,16;13;6
253,4,3,0,3;1;7;0
256,4,20,13,20;16;6;13
256,5,11,6,11;2;25;7;6
259,6,9,13,9;23;15;3;6;13
262,4,13,15,13;24;2;15
262,3,11,6,11;24;6
262,5,11,25,11;2;15;7;25
262,5,2,7,2;25;15;24;7
262,6,2,17,2;24;8;21;6;17
262,6,11,14,11;6;21;9;8;14
262,3,0,2,0;15;2
263,3,16,25,16;14;25
263,3,3,13,3;1;13
263,4,25,6,25;3;1;6
267,3,7,0,7;2;0
268,7,22,0,22;17;6;13;25;7;0
270,4,17,0,17;7;6;0
270,4,7,13,7;0;17;13
275,3,17,16,17;13;16
275,4,0,21,0;1;9;21
275,5,0,1,0;21;9;8;1
277,4,15,17,15;2;25;17
281,3,9,2,9;8;2
286,5,25,7,25;0;16;13;7
286,4,6,0,6;2;11;0
293,5,17,7,17;13;25;0;7
294,3,17,6,17;20;6
294,3,9,17,9;8;17
294,4,6,9,6;17;21;9
295,4,7,22,7;25;3;22
297,6,7,17,7;14;6;13;25;17
301,9,14,3,14;25;0;15;17;9;21;8;3
305,4,16,6,16;13;10;6
307,7,0,9,0;25;7;1;3;8;9
309,5,8,7,8;0;6;9;7
311,6,0,17,0;1;3;25;7;17
313,6,7,6,7;25;14;13;16;6
313,5,6,11,6;17;15;24;11
316,3,1,21,1;9;21
321,3,16,22,16;7;22
321,3,0,16,0;25;16
324,8,13,10,13;14;6;7;15;25;0;10
324,3,13,15,13;25;15
326,3,7,13,7;25;13
329,3,7,15,7;25;15
329,4,2,13,2;7;15;13
330,3,16,2,16;0;2
330,5,14,18,14;23;0;16;18
331,6,16,7,16;13;21;17;6;7
333,3,6,16,6;13;16
336,4,24,13,24;7;14;13
338,4,24,13,24;11;15;13
344,3,15,25,15;2;25
345,3,25,24,25;2;24
346,3,6,3,6;7;3
354,3,18,20,18;3;20
354,5,2,8,2;0;7;17;8
358,4,24,7,24;15;25;7
360,3,16,2,16;17;2
360,4,7,8,7;21;9;8
362,3,25,17,25;7;17
368,3,7,16,7;17;16
368,3,7,13,7;25;13
369,3,16,25,16;14;25
372,5,7,2,7;25;13;14;2
372,3,2,13,2;0;13
374,7,17,6,17;14;16;21;9;7;6
379,6,9,7,9;21;13;14;25;7
380,4,7,1,7;21;3;1
381,4,2,9,2;24;17;9
381,4,17,22,17;21;3;22
384,4,17,0,17;7;25;0
384,3,3,17,3;1;17
386,3,2,24,2;15;24
386,3,25,11,25;10;11
387,4,6,25,6;7;0;25
394,3,7,20,7;2;20
396,9,25,6,25;0;2;7;1;3;9;8;6
399,3,8,2,8;7;2
401,4,0,6,0;25;7;6
401,3,6,22,6;3;22
402,12,17,13,17;7;25;6;14;0;9;1;3;21;8;13
403,4,0,2,0;25;15;2
403,4,21,2,21;9;7;2
406,5,2,25,2;15;1;0;25
412,3,25,6,25;0;6
413,4,24,21,24;2;9;21
417,3,2,17,2;24;17
418,3,7,0,7;2;0
422,3,7,18,7;15;18
423,4,0,14,0;2;13;14
430,3,1,8,1;14;8
432,5,14,15,14;25;0;2;15
432,3,3,6,3;22;6
437,3,13,6,13;17;6
442,6,7,2,7;16;25;15;17;2
