poiID,poiCat,poiLon,poiLat,catID
0,Transport,-4.258101169,55.85792013480796,6
1,Transport,-4.250727639,55.86149567248896,6
2,Transport,-4.331517,55.868896500000005,6
3,Transport,-4.269904625,55.85613520833331,6
4,Education,-4.242159872,55.86114543,0
5,Education,-4.24976164,55.86707233333342,0
6,Education,-4.285801843,55.87218430769239,0
7,Education,-4.288902205,55.8719939645088,0
8,Education,-4.264269126,55.866234078372784,0
9,Education,-4.257086224,55.86211197872341,0
10,Religion,-4.234412938,55.86270032844042,3
11,Religion,-4.250646,55.85346542105263,3
12,Shopping,-4.29254421,55.87441117270186,4
13,Shopping,-4.255375836,55.86053728183968,4
14,Museum,-4.30770575,55.83081824999999,1
15,Structure,-4.288323547,55.85990364420503,5
16,Structure,-4.253177544,55.86441777836411,5
17,Museum,-4.251586013,55.859934364077695,1
18,Park,-4.238215759,55.85119285775855,2
19,Museum,-4.294561921,55.86907381294964,1
20,Museum,-4.290447339,55.86847013524039,1
21,Structure,-4.317774889,55.82766903030305,5
22,Structure,-4.261300118,55.864777521639816,5
23,Structure,-4.268838856,55.86140168468457,5
24,Transport,-4.595632,55.509388,6
25,Park,-4.20563622,55.849497292682905,2
26,Structure,-4.309061803,55.853225565789465,5
