from_poi,to_poi,count,probability
0,1,3,0.13043478260869565
0,8,2,0.08695652173913043
0,9,1,0.043478260869565216
0,10,1,0.043478260869565216
0,13,9,0.391304347826087
0,17,5,0.21739130434782608
0,20,1,0.043478260869565216
0,22,1,0.043478260869565216
1,4,1,0.02702702702702703
1,6,1,0.02702702702702703
1,7,2,0.05405405405405406
1,8,1,0.02702702702702703
1,9,1,0.02702702702702703
1,10,4,0.10810810810810811
1,13,7,0.1891891891891892
1,15,1,0.02702702702702703
1,16,3,0.08108108108108109
1,17,11,0.2972972972972973
1,20,3,0.08108108108108109
1,22,2,0.05405405405405406
2,1,1,1.0
4,10,1,1.0
5,9,1,0.5
5,17,1,0.5
6,1,1,0.09090909090909091
6,7,6,0.5454545454545454
6,13,1,0.09090909090909091
6,20,3,0.2727272727272727
7,0,2,0.09523809523809523
7,6,5,0.23809523809523808
7,9,2,0.09523809523809523
7,10,1,0.047619047619047616
7,12,5,0.23809523809523808
7,15,1,0.047619047619047616
7,16,1,0.047619047619047616
7,17,2,0.09523809523809523
7,19,1,0.047619047619047616
7,20,1,0.047619047619047616
8,0,1,0.07692307692307693
8,9,3,0.23076923076923078
8,10,1,0.07692307692307693
8,13,2,0.15384615384615385
8,16,1,0.07692307692307693
8,20,2,0.15384615384615385
8,22,3,0.23076923076923078
9,0,1,0.09090909090909091
9,1,1,0.09090909090909091
9,13,2,0.18181818181818182
9,16,4,0.36363636363636365
9,17,1,0.09090909090909091
9,20,1,0.09090909090909091
9,22,1,0.09090909090909091
10,0,1,0.0625
10,1,5,0.3125
10,6,1,0.0625
10,7,1,0.0625
10,8,1,0.0625
10,16,2,0.125
10,17,1,0.0625
10,18,1,0.0625
10,22,3,0.1875
11,10,1,1.0
12,7,3,0.42857142857142855
12,8,1,0.14285714285714285
12,17,1,0.14285714285714285
12,19,2,0.2857142857142857
13,0,6,0.15
13,1,9,0.225
13,3,1,0.025
13,5,1,0.025
13,6,1,0.025
13,8,1,0.025
13,9,1,0.025
13,10,2,0.05
13,11,1,0.025
13,16,3,0.075
13,17,12,0.3
13,21,1,0.025
13,22,1,0.025
14,20,2,1.0
15,1,1,0.25
15,8,1,0.25
15,16,1,0.25
15,19,1,0.25
16,1,6,0.35294117647058826
16,6,1,0.058823529411764705
16,7,1,0.058823529411764705
16,8,1,0.058823529411764705
16,13,3,0.17647058823529413
16,20,1,0.058823529411764705
16,22,3,0.17647058823529413
16,23,1,0.058823529411764705
17,0,3,0.08333333333333333
17,1,11,0.3055555555555556
17,2,1,0.027777777777777776
17,9,1,0.027777777777777776
17,10,1,0.027777777777777776
17,11,1,0.027777777777777776
17,13,13,0.3611111111111111
17,16,2,0.05555555555555555
17,20,2,0.05555555555555555
17,22,1,0.027777777777777776
19,7,2,0.2857142857142857
19,16,1,0.14285714285714285
19,20,3,0.42857142857142855
19,23,1,0.14285714285714285
20,1,1,0.06666666666666667
20,3,1,0.06666666666666667
20,6,2,0.13333333333333333
20,7,2,0.13333333333333333
20,8,1,0.06666666666666667
20,10,1,0.06666666666666667
20,12,1,0.06666666666666667
20,15,1,0.06666666666666667
20,16,1,0.06666666666666667
20,19,3,0.2
20,21,1,0.06666666666666667
21,8,1,0.5
21,14,1,0.5
22,1,2,0.16666666666666666
22,8,2,0.16666666666666666
22,9,6,0.5
22,16,2,0.16666666666666666
23,0,1,0.25
23,13,1,0.25
23,22,2,0.5
