userID,sequence_length,start_poi,end_poi,poi_sequence,cat_sequence,time_sequence
6,4,16,1,16;13;17;1,5;4;1;6,29;30;32;33
10,3,10,1,10;17;1,3;1;6,25;28;29
10,3,1,13,1;17;13,6;1;4,3;5;5
12,4,1,20,1;7;17;20,6;0;1;1,46;2;6;6
14,3,22,10,22;1;10,5;6;3,3;3;4
30,5,8,22,8;20;19;16;22,0;1;1;5;5,26;28;30;33;34
40,6,1,11,1;13;0;9;17;11,6;4;6;0;1;3,23;24;25;26;27;28
43,3,6,12,6;7;12,0;0;4,2;2;3
58,5,9,0,9;16;13;17;0,0;5;4;1;6,6;6;7;7;7
60,3,15,22,15;8;22,5;0;5,46;0;0
61,5,9,1,9;0;13;17;1,0;6;4;1;6,22;23;23;29;29
67,3,22,13,22;8;13,5;0;4,4;4;8
68,3,0,17,0;1;17,6;6;1,25;25;27
70,4,10,13,10;1;17;13,3;6;1;4,42;45;46;46
81,3,6,1,6;20;1,0;1;6,29;30;31
88,3,0,1,0;13;1,6;4;6,9;9;13
101,4,1,17,1;6;7;17,6;0;0;1,37;37;37;37
101,3,13,20,13;17;20,4;1;1,13;13;13
101,3,14,21,14;20;21,1;1;5,14;14;14
101,3,12,20,12;19;20,4;1;1,37;37;37
105,3,0,1,0;17;1,6;1;6,5;5;5
111,3,20,1,20;15;1,1;5;6,3;5;10
123,3,10,16,10;1;16,3;6;5,42;44;1
127,3,17,8,17;1;8,1;6;0,21;21;28
151,8,17,13,17;1;4;10;22;8;9;13,1;6;0;3;5;0;0;4,25;26;26;26;27;29;30;30
162,7,0,9,0;8;20;19;23;22;9,6;0;1;1;5;5;0,21;22;23;26;27;27;29
166,3,19,9,19;7;9,1;0;0,29;30;32
166,3,8,20,8;9;20,0;0;1,0;0;6
166,3,22,16,22;9;16,5;0;5,1;1;2
166,3,16,9,16;1;9,5;6;0,27;27;28
170,3,1,8,1;10;8,6;3;0,1;1;1
171,3,17,1,17;2;1,1;6;6,29;31;32
173,3,1,0,1;13;0,6;4;6,2;3;3
177,3,1,16,1;20;16,6;1;5,1;2;4
180,3,17,13,17;1;13,1;6;4,3;3;3
181,3,17,1,17;13;1,1;4;6,42;43;43
183,3,1,18,1;10;18,6;3;2,0;1;2
191,3,0,1,0;13;1,6;4;6,38;38;38
192,3,13,10,13;11;10,4;3;3,27;28;31
197,4,0,3,0;17;13;3,6;1;4;6,7;8;8;8
199,3,10,22,10;16;22,3;5;5,2;6;6
204,3,0,22,0;13;22,6;4;5,19;19;19
204,4,0,6,0;22;16;6,6;5;5;0,23;23;23;24
209,3,23,9,23;22;9,5;5;0,45;45;45
210,3,7,20,7;19;20,0;1;1,2;2;2
210,4,12,19,12;7;20;19,4;0;1;1,26;27;29;31
