userID,sequence_length,start_poi,end_poi,poi_sequence
6,4,16,1,16;13;17;1
10,3,10,1,10;17;1
10,3,1,13,1;17;13
12,4,1,20,1;7;17;20
14,3,22,10,22;1;10
30,5,8,22,8;20;19;16;22
40,6,1,11,1;13;0;9;17;11
43,3,6,12,6;7;12
58,5,9,0,9;16;13;17;0
60,3,15,22,15;8;22
61,5,9,1,9;0;13;17;1
67,3,22,13,22;8;13
68,3,0,17,0;1;17
70,4,10,13,10;1;17;13
81,3,6,1,6;20;1
88,3,0,1,0;13;1
101,4,1,17,1;6;7;17
101,3,13,20,13;17;20
101,3,14,21,14;20;21
101,3,12,20,12;19;20
105,3,0,1,0;17;1
111,3,20,1,20;15;1
123,3,10,16,10;1;16
127,3,17,8,17;1;8
151,8,17,13,17;1;4;10;22;8;9;13
162,7,0,9,0;8;20;19;23;22;9
166,3,19,9,19;7;9
166,3,8,20,8;9;20
166,3,22,16,22;9;16
166,3,16,9,16;1;9
170,3,1,8,1;10;8
171,3,17,1,17;2;1
173,3,1,0,1;13;0
177,3,1,16,1;20;16
180,3,17,13,17;1;13
181,3,17,1,17;13;1
183,3,1,18,1;10;18
191,3,0,1,0;13;1
192,3,13,10,13;11;10
197,4,0,3,0;17;13;3
199,3,10,22,10;16;22
204,3,0,22,0;13;22
204,4,0,6,0;22;16;6
209,3,23,9,23;22;9
210,3,7,20,7;19;20
210,4,12,19,12;7;20;19
210,3,7,19,7;12;19
217,4,1,0,1;17;13;0
218,4,19,1,19;7;6;1
218,3,12,15,12;7;15
221,7,17,12,17;13;0;20;6;7;12
221,3,23,1,23;13;1
235,3,7,20,7;6;20
239,3,20,16,20;10;16
240,4,8,6,8;0;13;6
254,3,13,17,13;1;17
258,3,0,1,0;17;1
271,3,20,6,20;7;6
280,4,10,20,10;22;1;20
282,3,0,16,0;1;16
284,5,1,17,1;10;6;13;17
301,3,1,20,1;16;20
311,3,8,22,8;9;22
314,3,10,9,10;22;9
314,4,8,1,8;22;16;1
320,5,1,7,1;17;13;10;7
321,3,13,17,13;1;17
321,3,9,1,9;16;1
324,5,16,0,16;22;9;13;0
337,3,6,12,6;7;12
337,3,6,0,6;7;0
339,5,0,3,0;13;1;20;3
347,5,7,17,7;12;8;13;17
349,3,1,9,1;22;9
353,4,17,16,17;1;15;16
356,4,1,22,1;13;17;22
378,3,13,9,13;5;9
384,3,10,8,10;0;8
391,3,15,20,15;19;20
414,3,5,13,5;17;13
415,3,12,9,12;17;9
418,3,16,1,16;13;1
429,3,16,13,16;1;13
430,4,17,8,17;13;16;8
430,3,8,7,8;16;7
434,3,0,10,0;13;10
445,3,0,16,0;13;16
447,4,16,13,16;1;17;13
447,5,17,1,17;13;9;16;1
447,3,0,8,0;13;8
453,3,0,1,0;17;1
464,3,20,16,20;7;16
469,3,10,22,10;1;22
470,3,1,10,1;17;10
494,3,17,1,17;13;1
494,3,13,16,13;17;16
494,3,13,16,13;17;16
494,4,1,17,1;13;0;17
498,3,7,1,7;9;1
498,4,7,12,7;6;20;12
500,3,1,10,1;7;10
508,3,1,17,1;13;17
511,5,20,1,20;6;7;0;1
513,6,17,1,17;13;21;8;10;1
517,4,13,0,13;16;23;0
539,3,12,6,12;7;6
552,3,13,1,13;17;1
557,3,21,20,21;14;20
563,4,1,10,1;17;0;10
571,3,13,0,13;17;0
592,3,20,22,20;8;22
596,3,10,17,10;1;17
