userID,sequence_length,start_poi,end_poi,poi_sequence,cat_sequence,time_sequence
4,6,77,53,77;72;54;55;74;53,4;3;6;6;8;6,28;28;29;29;29;29
13,3,39,14,39;17;14,2;5;5,1;8;8
13,4,39,31,39;2;9;31,2;0;5;2,25;26;26;26
13,3,16,22,16;40;22,5;2;5,21;21;21
15,3,23,3,23;39;3,5;2;0,28;28;34
17,6,40,49,40;35;53;68;77;49,2;2;6;3;4;7,1;2;4;7;8;10
18,8,78,79,78;49;15;67;66;47;39;79,6;7;5;3;3;7;2;3,25;25;26;27;27;28;29;29
19,4,40,79,40;22;21;79,2;5;5;3,46;0;2;2
20,4,68,27,68;64;77;27,3;3;4;1,37;46;47;0
27,3,9,77,9;43;77,5;7;4,5;6;6
35,5,74,68,74;6;23;44;68,8;0;5;7;3,21;23;23;26;33
37,4,49,39,49;9;11;39,7;5;5;2,8;9;16;17
37,3,2,15,2;31;15,0;2;5,5;9;9
37,5,2,68,2;4;49;78;68,0;0;7;6;3,22;25;28;30;31
40,3,68,0,68;77;0,3;4;0,46;47;2
43,3,21,43,21;19;43,5;5;7,44;46;2
47,3,15,39,15;13;39,5;5;2,29;29;29
47,5,17,9,17;13;18;23;9,5;5;5;5;5,25;25;25;25;25
47,3,68,31,68;25;31,3;1;2,7;7;8
47,3,68,80,68;78;80,3;6;8,1;2;2
48,3,71,73,71;33;73,3;2;8,24;24;24
48,7,45,8,45;25;44;68;31;23;8,7;1;7;3;2;5;5,29;29;29;30;31;31;31
58,3,2,72,2;78;72,0;6;3,21;26;28
59,7,49,9,49;68;72;79;40;22;9,7;3;3;3;2;5;5,28;29;30;32;32;32;32
63,4,15,31,15;49;9;31,5;7;5;2,31;31;32;33
63,3,9,19,9;22;19,5;5;5,7;8;15
64,3,31,8,31;18;8,2;5;5,2;2;2
64,3,43,42,43;30;42,7;2;7,2;2;2
64,3,2,0,2;39;0,0;2;0,47;47;4
64,3,68,9,68;67;9,3;3;5,2;2;2
64,6,40,68,40;9;34;78;77;68,2;5;2;6;4;3,32;33;33;34;34;34
64,3,49,34,49;67;34,7;3;2,33;33;33
69,9,43,9,43;49;78;68;15;31;79;40;9,7;7;6;3;5;2;3;2;5,3;3;3;3;3;3;3;3;3
75,4,27,68,27;15;78;68,1;5;6;3,6;7;7;7
80,10,12,43,12;20;78;72;48;33;71;30;77;43,5;5;6;3;7;2;3;2;4;7,23;24;26;27;27;28;29;29;30;30
81,8,70,2,70;37;66;47;50;39;38;2,3;2;3;7;6;2;2;0,45;45;46;46;47;47;47;47
81,13,80,25,80;1;41;21;19;68;30;66;3;59;33;15;25,8;0;2;5;5;3;2;3;0;6;2;5;1,45;45;46;46;46;47;47;0;0;0;1;1;1
88,3,78,26,78;68;26,6;3;1,1;1;2
88,3,68,79,68;22;79,3;5;3,26;29;30
102,7,15,13,15;78;0;30;77;43;13,5;6;0;2;4;7;5,3;3;3;4;4;4;5
104,9,4,77,4;35;40;79;67;17;15;78;77,0;2;2;3;3;5;5;6;4,5;6;6;6;7;7;7;7;7
106,3,15,68,15;49;68,5;7;3,46;46;46
106,4,77,44,77;71;73;44,4;3;8;7,42;43;45;46
127,3,44,80,44;25;80,7;1;8,23;24;25
129,3,34,74,34;31;74,2;2;8,15;15;17
138,3,68,40,68;47;40,3;7;2,23;25;28
141,3,69,55,69;6;55,3;0;6,4;7;9
146,3,4,31,4;40;31,0;2;2,37;38;41
146,3,78,68,78;49;68,6;7;3,40;41;41
146,3,68,30,68;64;30,3;3;2,21;22;22
146,3,34,61,34;65;61,2;3;3,44;44;45
149,5,66,27,66;47;25;41;27,3;7;1;2;1,25;26;28;29;29
150,4,73,65,73;77;68;65,8;4;3;3,30;37;37;37
150,3,38,74,38;34;74,2;2;8,12;13;13
150,8,65,80,65;68;78;44;14;25;27;80,3;3;6;7;5;1;1;8,33;33;33;33;34;34;34;34
150,3,68,77,68;64;77,3;3;4,6;7;9
158,4,79,49,79;4;67;49,3;0;3;7,28;28;29;29
158,6,44,15,44;54;23;67;8;15,7;6;5;3;5;5,5;5;8;8;8;8
159,8,68,77,68;49;15;17;13;34;30;77,3;7;5;5;5;2;2;4,22;23;23;23;23;24;27;33
159,6,31,50,31;21;47;39;2;50,2;5;7;2;0;6,24;24;27;29;29;29
159,4,48,23,48;17;18;23,7;5;5;5,47;2;2;3
160,5,43,0,43;44;68;78;0,7;7;3;6;0,40;41;41;41;43
165,3,68,40,68;50;40,3;6;2,22;23;24
171,7,27,9,27;25;44;77;49;34;9,1;1;7;4;7;2;5,46;47;47;47;47;0;0
171,4,26,44,26;77;43;44,1;4;7;7,1;3;3;4
171,8,9,38,9;34;67;49;68;77;78;38,5;2;3;7;3;4;6;2,3;3;3;3;3;4;4;4
173,4,68,77,68;43;72;77,3;7;3;4,24;28;29;29
175,3,34,68,34;9;68,2;5;3,28;29;30
175,3,44,0,44;43;0,7;7;0,1;1;1
176,4,22,40,22;9;23;40,5;5;5;2,31;32;32;33
176,3,17,13,17;15;13,5;5;5,3;3;3
179,6,68,44,68;78;49;77;43;44,3;6;7;4;7;7,5;5;5;5;6;6
179,7,77,15,77;78;44;43;0;25;15,4;6;7;7;0;1;5,5;5;5;5;5;6;7
179,9,78,15,78;68;8;18;23;9;13;17;15,6;3;5;5;5;5;5;5;5,4;4;4;4;4;5;6;6;6
183,4,9,34,9;15;49;34,5;5;7;2,36;38;38;38
183,3,39,35,39;36;35,2;2;2,14;14;14
183,5,4,34,4;79;49;14;34,0;3;7;5;2,35;36;36;36;36
