userID,sequence_length,start_poi,end_poi,poi_sequence
4,6,77,53,77;72;54;55;74;53
13,3,39,14,39;17;14
13,4,39,31,39;2;9;31
13,3,16,22,16;40;22
15,3,23,3,23;39;3
17,6,40,49,40;35;53;68;77;49
18,8,78,79,78;49;15;67;66;47;39;79
19,4,40,79,40;22;21;79
20,4,68,27,68;64;77;27
27,3,9,77,9;43;77
35,5,74,68,74;6;23;44;68
37,4,49,39,49;9;11;39
37,3,2,15,2;31;15
37,5,2,68,2;4;49;78;68
40,3,68,0,68;77;0
43,3,21,43,21;19;43
47,3,15,39,15;13;39
47,5,17,9,17;13;18;23;9
47,3,68,31,68;25;31
47,3,68,80,68;78;80
48,3,71,73,71;33;73
48,7,45,8,45;25;44;68;31;23;8
58,3,2,72,2;78;72
59,7,49,9,49;68;72;79;40;22;9
63,4,15,31,15;49;9;31
63,3,9,19,9;22;19
64,3,31,8,31;18;8
64,3,43,42,43;30;42
64,3,2,0,2;39;0
64,3,68,9,68;67;9
64,6,40,68,40;9;34;78;77;68
64,3,49,34,49;67;34
69,9,43,9,43;49;78;68;15;31;79;40;9
75,4,27,68,27;15;78;68
80,10,12,43,12;20;78;72;48;33;71;30;77;43
81,8,70,2,70;37;66;47;50;39;38;2
81,13,80,25,80;1;41;21;19;68;30;66;3;59;33;15;25
88,3,78,26,78;68;26
88,3,68,79,68;22;79
102,7,15,13,15;78;0;30;77;43;13
104,9,4,77,4;35;40;79;67;17;15;78;77
106,3,15,68,15;49;68
106,4,77,44,77;71;73;44
127,3,44,80,44;25;80
129,3,34,74,34;31;74
138,3,68,40,68;47;40
141,3,69,55,69;6;55
146,3,4,31,4;40;31
146,3,78,68,78;49;68
146,3,68,30,68;64;30
146,3,34,61,34;65;61
149,5,66,27,66;47;25;41;27
150,4,73,65,73;77;68;65
150,3,38,74,38;34;74
150,8,65,80,65;68;78;44;14;25;27;80
150,3,68,77,68;64;77
158,4,79,49,79;4;67;49
158,6,44,15,44;54;23;67;8;15
159,8,68,77,68;49;15;17;13;34;30;77
159,6,31,50,31;21;47;39;2;50
159,4,48,23,48;17;18;23
160,5,43,0,43;44;68;78;0
165,3,68,40,68;50;40
171,7,27,9,27;25;44;77;49;34;9
171,4,26,44,26;77;43;44
171,8,9,38,9;34;67;49;68;77;78;38
173,4,68,77,68;43;72;77
175,3,34,68,34;9;68
175,3,44,0,44;43;0
176,4,22,40,22;9;23;40
176,3,17,13,17;15;13
179,6,68,44,68;78;49;77;43;44
179,7,77,15,77;78;44;43;0;25;15
179,9,78,15,78;68;8;18;23;9;13;17;15
183,4,9,34,9;15;49;34
183,3,39,35,39;36;35
183,5,4,34,4;79;49;14;34
183,4,23,13,23;9;8;13
186,3,34,77,34;30;77
197,3,68,72,68;73;72
200,3,30,39,30;0;39
201,4,23,34,23;17;49;34
203,6,34,0,34;44;68;65;49;0
204,11,19,4,19;2;39;34;8;17;14;41;37;79;4
215,6,22,16,22;18;8;31;79;16
224,3,70,19,70;37;19
224,5,64,22,64;71;73;48;22
224,4,14,79,14;67;31;79
230,5,77,2,77;78;49;17;2
230,3,40,9,40;22;9
231,4,40,26,40;79;22;26
238,5,78,25,78;77;13;43;25
238,5,24,78,24;23;21;47;78
239,5,45,68,45;74;34;49;68
242,6,80,25,80;57;78;8;63;25
247,4,34,14,34;67;18;14
249,3,9,31,9;34;31
255,3,13,38,13;77;38
257,4,30,31,30;68;49;31
260,4,26,68,26;15;40;68
265,12,49,77,49;66;47;27;29;61;54;65;68;30;43;77
265,4,77,49,77;65;68;49
266,4,79,22,79;40;31;22
266,8,30,23,30;0;43;77;67;34;9;23
266,3,22,39,22;9;39
266,8,49,22,49;13;8;0;43;79;40;22
