userID,sequence_length,start_poi,end_poi,poi_sequence,cat_sequence,time_sequence
0,4,23,12,23;25;11;12,0;1;3;3,47;32;16;0
1,3,20,12,20;11;12,0;3;3,47;24;0
1,3,0,25,0;9;25,0;0;1,0;24;47
2,4,9,12,9;3;4;12,0;1;2;3,47;32;16;0
3,3,10,14,10;11;14,3;3;3,0;24;47
3,5,20,13,20;1;10;11;13,0;1;3;3;3,0;12;24;36;47
4,3,22,10,22;23;10,0;0;3,47;24;0
5,3,10,13,10;12;13,3;3;3,47;24;0
6,3,25,10,25;6;10,1;2;3,47;24;0
7,5,0,12,0;25;10;11;12,0;1;3;3;3,0;12;24;36;47
8,3,0,18,0;9;18,0;0;3,0;24;47
9,3,22,11,22;10;11,0;3;3,0;24;47
10,5,0,12,0;9;25;10;12,0;0;1;3;3,0;12;24;36;47
11,3,24,12,24;1;12,1;1;3,47;24;0
12,4,0,25,0;9;22;25,0;0;0;1,47;32;16;0
13,3,22,11,22;25;11,0;1;3,47;24;0
14,3,0,25,0;9;25,0;0;1,0;24;47
15,4,0,4,0;23;25;4,0;0;1;2,47;32;16;0
16,4,25,15,25;10;12;15,1;3;3;3,47;32;16;0
17,3,22,18,22;24;18,0;1;3,0;24;47
18,5,22,14,22;23;10;13;14,0;0;3;3;3,0;12;24;36;47
19,3,23,10,23;25;10,0;1;3,47;24;0
20,5,25,13,25;1;11;12;13,1;1;3;3;3,0;12;24;36;47
21,3,23,10,23;25;10,0;1;3,47;24;0
22,3,4,14,4;11;14,2;3;3,47;24;0
23,3,22,14,22;10;14,0;3;3,47;24;0
24,3,0,22,0;9;22,0;0;0,47;24;0
24,3,0,10,0;9;10,0;0;3,0;24;47
25,3,24,11,24;10;11,1;3;3,47;24;0
26,6,20,14,20;1;4;10;12;14,0;1;2;3;3;3,47;38;29;19;10;0
27,3,23,12,23;7;12,0;2;3,47;24;0
28,5,0,10,0;9;23;2;10,0;0;0;1;3,47;36;24;12;0
29,3,22,10,22;23;10,0;0;3,0;24;47
30,3,25,12,25;11;12,1;3;3,47;24;0
31,3,10,18,10;11;18,3;3;3,47;24;0
31,5,20,12,20;4;10;11;12,0;2;3;3;3,47;36;24;12;0
32,3,0,25,0;9;25,0;0;1,47;24;0
33,3,23,11,23;10;11,0;3;3,0;24;47
34,3,22,5,22;23;5,0;0;2,47;24;0
35,3,0,18,0;9;18,0;0;3,0;24;47
36,3,22,18,22;11;18,0;3;3,0;24;47
36,3,10,13,10;11;13,3;3;3,47;24;0
37,3,22,12,22;23;12,0;0;3,47;24;0
37,3,25,4,25;1;4,1;1;2,47;24;0
37,3,9,12,9;10;12,0;3;3,47;24;0
38,4,22,12,22;25;4;12,0;1;2;3,0;16;32;47
39,4,23,12,23;25;4;12,0;1;2;3,47;32;16;0
