userID,sequence_length,start_poi,end_poi,poi_sequence,cat_sequence,time_sequence
19,3,5,22,5;8;22,2;2;3,0;5;6
19,3,23,17,23;18;17,5;3;1,37;39;40
19,4,17,16,17;23;18;16,1;5;3;1,4;4;4;4
25,3,2,22,2;18;22,4;3;3,2;3;4
25,3,16,25,16;18;25,1;3;5,22;23;25
31,4,2,25,2;18;17;25,4;3;1;5,13;13;14;17
32,3,12,17,12;3;17,0;4;1,23;23;29
32,3,22,8,22;18;8,3;3;2,1;3;4
32,3,5,17,5;25;17,2;5;1,30;31;31
34,3,5,23,5;17;23,2;1;5,27;29;29
36,3,12,25,12;3;25,0;4;5,39;39;39
74,3,25,6,25;12;6,5;0;2,3;5;5
78,3,12,25,12;6;25,0;2;5,1;1;6
81,13,17,12,17;5;18;23;0;24;25;6;4;8;19;3;12,1;2;3;5;4;5;5;2;2;2;3;4;0,0;0;0;0;1;1;1;1;1;1;1;1;1
84,4,6,17,6;12;3;17,2;0;4;1,32;32;34;35
89,3,12,6,12;3;6,0;4;2,47;47;1
89,3,16,8,16;22;8,1;3;2,30;30;30
98,3,25,4,25;17;4,5;1;2,10;10;11
98,4,25,18,25;17;23;18,5;1;5;3,1;6;6;6
110,3,18,12,18;23;12,3;5;0,43;43;43
110,7,12,22,12;16;18;6;23;17;22,0;1;3;2;5;1;3,7;7;7;8;11;11;13
116,3,13,10,13;1;10,0;4;0,6;8;10
131,8,23,16,23;17;18;24;5;25;12;16,5;1;3;5;2;5;0;1,24;24;24;25;27;27;27;30
134,3,12,18,12;8;18,0;2;3,8;12;15
137,3,12,18,12;17;18,0;1;3,39;40;40
137,3,20,11,20;14;11,3;1;0,22;23;24
137,8,17,12,17;6;25;5;23;18;16;12,1;2;5;2;5;3;1;0,5;5;5;7;7;7;7;7
139,3,5,6,5;25;6,2;5;2,3;4;4
142,5,17,23,17;0;6;16;23,1;4;2;1;5,0;6;9;11;11
157,3,18,12,18;17;12,3;1;0,13;13;13
157,3,16,19,16;18;19,1;3;3,10;10;11
157,3,5,0,5;18;0,2;3;4,6;7;9
163,3,17,18,17;23;18,1;5;3,30;30;30
173,3,17,20,17;4;20,1;2;3,45;47;47
178,7,18,25,18;23;12;19;3;6;25,3;5;0;3;4;2;5,23;23;24;25;29;29;29
179,3,9,24,9;12;24,2;0;5,1;4;6
182,7,17,16,17;25;5;0;6;12;16,1;5;2;4;2;0;1,6;6;6;6;6;6;8
182,4,5,6,5;12;3;6,2;0;4;2,22;24;24;25
182,4,2,17,2;24;4;17,4;5;2;1,47;47;47;0
191,5,5,25,5;18;23;16;25,2;3;5;1;5,9;9;9;10;11
191,3,5,18,5;25;18,2;5;3,46;0;0
191,3,16,0,16;5;0,1;2;4,10;12;12
191,3,5,18,5;17;18,2;1;3,26;28;29
191,5,18,23,18;16;17;5;23,3;1;1;2;5,15;16;17;18;18
191,3,5,18,5;23;18,2;5;3,31;32;34
191,3,16,17,16;18;17,1;3;1,6;6;6
191,3,23,25,23;16;25,5;1;5,24;32;32
191,3,25,4,25;16;4,5;1;2,7;7;9
191,4,25,5,25;23;18;5,5;5;3;2,2;2;3;3
191,3,23,16,23;18;16,5;3;1,2;2;2
191,3,17,25,17;16;25,1;1;5,7;8;8
191,3,5,25,5;23;25,2;5;5,7;7;8
191,5,5,17,5;25;16;18;17,2;5;1;3;1,32;32;33;36;37
191,4,5,23,5;18;16;23,2;3;1;5,2;2;2;2
191,5,23,17,23;18;16;8;17,5;3;1;2;1,16;16;17;18;19
191,3,23,16,23;18;16,5;3;1,25;25;25
191,3,25,5,25;17;5,5;1;2,22;25;30
191,5,5,23,5;25;16;18;23,2;5;1;3;5,26;30;33;33;34
191,4,6,18,6;25;23;18,2;5;5;3,46;1;6;7
191,4,25,18,25;5;23;18,5;2;5;3,22;25;25;25
191,3,18,25,18;23;25,3;5;5,2;2;2
191,3,18,17,18;23;17,3;5;1,25;25;26
191,4,5,25,5;18;23;25,2;3;5;5,2;2;2;7
191,3,18,23,18;17;23,3;1;5,4;7;8
191,3,18,25,18;12;25,3;0;5,2;8;11
191,3,0,5,0;25;5,4;5;2,22;30;30
191,3,6,5,6;25;5,2;5;2,3;3;8
191,3,23,16,23;2;16,5;4;1,31;31;32
191,3,5,16,5;18;16,2;3;1,27;27;32
191,3,5,25,5;17;25,2;1;5,3;3;8
191,3,16,25,16;18;25,1;3;5,27;27;32
191,4,18,25,18;16;23;25,3;1;5;5,27;27;31;32
191,3,6,12,6;25;12,2;5;0,27;27;31
191,3,17,25,17;18;25,1;3;5,17;17;19
191,7,5,8,5;18;23;25;16;17;8,2;3;5;5;1;1;2,2;2;2;4;5;5;8
191,3,24,16,24;18;16,5;3;1,2;7;9
191,3,25,16,25;5;16,5;2;1,29;29;34
191,3,16,25,16;5;25,1;2;5,31;31;32
191,3,24,16,24;22;16,5;3;1,30;31;34
191,4,5,18,5;16;23;18,2;1;5;3,5;10;11;11
191,3,16,23,16;18;23,1;3;5,31;31;31
191,3,25,18,25;23;18,5;5;3,31;31;32
191,3,25,16,25;5;16,5;2;1,31;31;32
191,3,23,2,23;16;2,5;1;4,6;6;7
191,4,5,24,5;17;18;24,2;1;3;5,39;40;40;42
191,3,19,23,19;5;23,3;2;5,28;31;35
191,4,19,23,19;5;18;23,3;2;3;5,1;6;7;9
210,3,18,5,18;17;5,3;1;2,31;31;33
226,3,20,24,20;18;24,3;3;5,29;29;29
228,4,12,5,12;6;25;5,0;2;5;2,33;33;33;33
236,3,5,12,5;6;12,2;2;0,3;4;5
238,4,12,6,12;4;25;6,0;2;5;2,46;0;0;2
241,3,8,25,8;9;25,2;2;5,46;2;3
