userID,sequence_length,start_poi,end_poi,poi_sequence
19,3,5,22,5;8;22
19,3,23,17,23;18;17
19,4,17,16,17;23;18;16
25,3,2,22,2;18;22
25,3,16,25,16;18;25
31,4,2,25,2;18;17;25
32,3,12,17,12;3;17
32,3,22,8,22;18;8
32,3,5,17,5;25;17
34,3,5,23,5;17;23
36,3,12,25,12;3;25
74,3,25,6,25;12;6
78,3,12,25,12;6;25
81,13,17,12,17;5;18;23;0;24;25;6;4;8;19;3;12
84,4,6,17,6;12;3;17
89,3,12,6,12;3;6
89,3,16,8,16;22;8
98,3,25,4,25;17;4
98,4,25,18,25;17;23;18
110,3,18,12,18;23;12
110,7,12,22,12;16;18;6;23;17;22
116,3,13,10,13;1;10
131,8,23,16,23;17;18;24;5;25;12;16
134,3,12,18,12;8;18
137,3,12,18,12;17;18
137,3,20,11,20;14;11
137,8,17,12,17;6;25;5;23;18;16;12
139,3,5,6,5;25;6
142,5,17,23,17;0;6;16;23
157,3,18,12,18;17;12
157,3,16,19,16;18;19
157,3,5,0,5;18;0
163,3,17,18,17;23;18
173,3,17,20,17;4;20
178,7,18,25,18;23;12;19;3;6;25
179,3,9,24,9;12;24
182,7,17,16,17;25;5;0;6;12;16
182,4,5,6,5;12;3;6
182,4,2,17,2;24;4;17
191,5,5,25,5;18;23;16;25
191,3,5,18,5;25;18
191,3,16,0,16;5;0
191,3,5,18,5;17;18
191,5,18,23,18;16;17;5;23
191,3,5,18,5;23;18
191,3,16,17,16;18;17
191,3,23,25,23;16;25
191,3,25,4,25;16;4
191,4,25,5,25;23;18;5
191,3,23,16,23;18;16
191,3,17,25,17;16;25
191,3,5,25,5;23;25
191,5,5,17,5;25;16;18;17
191,4,5,23,5;18;16;23
191,5,23,17,23;18;16;8;17
191,3,23,16,23;18;16
191,3,25,5,25;17;5
191,5,5,23,5;25;16;18;23
191,4,6,18,6;25;23;18
191,4,25,18,25;5;23;18
191,3,18,25,18;23;25
191,3,18,17,18;23;17
191,4,5,25,5;18;23;25
191,3,18,23,18;17;23
191,3,18,25,18;12;25
191,3,0,5,0;25;5
191,3,6,5,6;25;5
191,3,23,16,23;2;16
191,3,5,16,5;18;16
191,3,5,25,5;17;25
191,3,16,25,16;18;25
191,4,18,25,18;16;23;25
191,3,6,12,6;25;12
191,3,17,25,17;18;25
191,7,5,8,5;18;23;25;16;17;8
191,3,24,16,24;18;16
191,3,25,16,25;5;16
191,3,16,25,16;5;25
191,3,24,16,24;22;16
191,4,5,18,5;16;23;18
191,3,16,23,16;18;23
191,3,25,18,25;23;18
191,3,25,16,25;5;16
191,3,23,2,23;16;2
191,4,5,24,5;17;18;24
191,3,19,23,19;5;23
191,4,19,23,19;5;18;23
210,3,18,5,18;17;5
226,3,20,24,20;18;24
228,4,12,5,12;6;25;5
236,3,5,12,5;6;12
238,4,12,6,12;4;25;6
241,3,8,25,8;9;25
252,3,3,17,3;25;17
252,4,5,23,5;25;12;23
252,3,12,9,12;8;9
253,4,8,16,8;17;18;16
253,4,7,17,7;16;23;17
253,3,18,23,18;17;23
257,3,0,19,0;6;19
261,3,4,21,4;8;21
267,3,24,18,24;6;18
272,3,12,14,12;13;14
272,4,25,8,25;19;20;8
272,3,20,19,20;12;19
281,4,16,19,16;9;6;19
286,4,16,23,16;18;25;23
287,3,6,3,6;12;3
293,6,18,3,18;5;25;12;6;3
295,4,18,0,18;17;23;0
304,3,8,4,8;22;4
305,4,12,16,12;25;23;16
307,4,23,5,23;17;0;5
313,3,6,12,6;3;12
320,3,17,6,17;25;6
321,3,23,18,23;17;18
324,6,12,16,12;6;23;17;18;16
336,3,6,0,6;12;0
341,3,12,9,12;19;9
346,3,11,0,11;14;0
350,3,25,16,25;22;16
350,3,16,25,16;23;25
350,3,25,23,25;18;23
377,4,12,17,12;18;23;17
377,3,24,12,24;25;12
377,3,4,18,4;20;18
382,3,6,12,6;3;12
391,4,12,5,12;6;25;5
391,4,16,23,16;18;17;23
